치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립연월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
옹진군치매안심센터,치매안심센터,인천광역시 옹진군 백령면 백령로833번길 26-29,인천광역시 옹진군 백령면 북포리 522-6,37.95793845,124.6647433,2019-09,226.11,프로그램실+가족카페,0,1,0,의료기술(1),인천광역시 옹진군보건소,박혜련,032-899-3670,,쉼터+치매예방+인지강화교실,032-899-3670,인천광역시 옹진군보건소,2025-06-27,3580000,인천광역시 옹진군
김제시 치매안심센터,치매안심센터,전북특별자치도 김제시 동서8길 52,전북특별자치도 김제시 요촌동 141-8,35.797404,126.888751,2017-12,3694,,0,10,3,작업치료사(5)+임상심리사(2)+물리치료사(2)+기타보건인력(6),전북특별자치도 김제시 보건소,김정아,063-547-4000,,"인지재활프로그램, 인지강화프로그램, 쉼터카페제공,치매치료비지원, 치매선별검사 및 진단검사 등",063-540-1327,김제시 보건소 치매재활과,2025-07-02,4711000,전북특별자치도 김제시
함평군보건소,치매안심센터,전라남도 함평군 함평읍 중앙길 54-8,전라남도 함평군 함평읍 기각리 253,35.06215283,126.524248,2017-12,382,사무실(1)+검진실(2)+상담실(1)+가족카페(1)+프로그램실(2),0,9,1,물리치료사(1),함평군보건소,심화섭,061-320-2390,,치매조기검진+치매예방교실+인지향상프로그램+치매치료관리비지원+치매환자등록관리+실종예방사업,061-320-2390,전라남도 함평군청,2025-05-14,4960000,전라남도 함평군
대전서구치매안심센터,치매안심센터,대전광역시서구만년로74 5층,대전광역시서구만년동340 5층,36.3671656,127.3810425,2018-04,526.415,프로그램실(2)+가족카페(1)+의사검진실(1)+신경심리검사실(1)+선별검사실(2)+대기실(1)+사무실(1)+서고(1),1,10,4,작업치료사(2)+임상심리사(2),대전서구보건소,조은숙,042-288-4470,2018-04-24,치매환자인지재활프로그램+고위험군인지강화교실+치매예방교실+찾아가는경로당치매예방교실+치매예방교육+치매파트너및플러스사업+가족교실+가족자조모임+선별검사및진단검사+치매치료관리비지원+조호물품지원+배회가능어르신인식표제공+지문등사전등록+공공후견지원사업+사례관리,042-288-4500,대전서구보건소,2025-05-17,3660000,대전광역시 서구
울릉군치매안심센터,치매안심센터,경상북도 울릉군 울릉읍 울릉순환로 396-18,,37.48590672,130.8994626,2018-05,72,치매단기쉼터,1,4,2,0,울릉군보건의료원,김영헌,054-790-6827,,치매치료관리비지원,054-880-3805,경상북도 보건정책과,2023-06-16,5260000,경상북도 울릉군
충청남도 예산군 치매안심센터,치매안심센터,충청남도 예산군 예산읍 군청로 22,충청남도 예산군 예산읍 예산리 777,36.68088054,126.8448507,2024-10,427.55,교육실+치매검진(상담)실+ 치매프로그램실+옥상정원,2,14,1,,예산군보건소,최승묵,041-339-6140,,기억키움교실,041-339-6140,충청남도 예산군보건소,2024-11-26,4610000,충청남도 예산군
양양군 치매안심센터,치매안심센터,강원특별자치도 양양군 양양읍 양양로 9-5,강원특별자치도 양양군 양양읍 연창리 203-5,38.077845,128.627487,2019-08,309,사무실+검진실+상담실+쉼터,0,5,1,작업치료사(2)+행정(1),양양군 보건소,신승주,033-670-2496,,치매환자 등록관리/인지재활 프로그램/쉼터 프로그램,033-670-2565,양양군 보건소,2024-11-26,4351000,강원특별자치도 양양군
공주시치매안심센터,치매안심센터,충청남도 공주시 옛군청뒷길 8,충청남도 공주시 교동 131,36.45701715,127.1201721,2022-11,466.66,상담실+검진실+쉼터+가족카페,0,12,2,작업치료사4+담당 공무원7,공주시보건소,공주시보건소장(김기남),041-840-3315,2018-03-21,치매조기검진+치매노인 지문등록+치매치료관리비 지원+조호물품(위생물품) 제공+치매예방교실+인지강화교실+인지재활프로그램+기타 인지자극 프로그램+헤아림 가족교실+치매가족 힐링 프로그램+치매공공후견 사업+치매어르신주간보호소 운영(위탁)+치매안심마을 운영+치매인식 개선과 교육 및 홍보 사업+배회가능 어르신 인식표 발급 및 GPS 운영,041-840-3315,공주시보건소,2025-09-30,4500000,충청남도 공주시
용인시기흥구치매안심센터,치매안심센터,경기도 용인시 기흥구 신갈로58번길 11,경기도 용인시 기흥구 신갈동 60-3,37.272634,127.106729,2024-09,702.2,사무실(2)+프로그램실(3)+카페(1)+검진실(2),2,14,4,작업치료사 (4)+기타(3),경기도 용인시 기흥구보건소,권봉정,031-6193-0369,,치매검사+치매예방교실+치매가족교실+치매환자 쉼터 운영사업+치매치료관리비 지원+조호물품 제공 등,031-6193-0369,기흥구보건소,2025-11-27,4050000,경기도 용인시
용인시수지구치매안심센터,치매안심센터,"경기도 용인시 수지구 문정로 20, 3층",경기도 용인시 수지구 풍덕천동 719-4,37.32276658,127.0963428,2024-11,588.46,대기실(1)+사무실(1)+교육실(1)+프로그램실(2)+진료실(2)+상담실(2)+문서고(1)+가족카페(1)+창고(2)+탕비실(1),2,11,4,작업치료사(1)+물리치료사(2),경기도 용인시 수지구보건소,허선수,031-6193-0881,,상담 및 등록관리사업+치매조기검진 및 예방관리사업+치매환자쉼터 운영사업+치매가족 지원사업+치매인식개선 및 교육 홍보사업+치매안심마을 운영,031-6193-0881,수지구보건소,2025-11-27,4050000,경기도 용인시
용인시처인구치매안심센터,치매안심센터,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.24086733,127.1779684,2024-09,281,사무실(1)+가족카페(1)+치료실(1)+검진실(1)+쉼터(1)+채움(1)+공감(1),4,9,4,작업치료사(2)+기타직군(2),경기도 용인시 처인구보건소,강경신,031-6193-0199,,무료치매검사+치매예방프로그램 운영+치매환자 및 가족프로그램 운영+치매인식개선 사업 등,031-6193-0199,처인구보건소,2025-11-27,4050000,경기도 용인시
단양군치매안심센터,치매안심센터,충청북도 단양군 단양읍 수변로 83,충청북도 단양군 단양읍 도전리 632,36.98284257,128.3707522,2018-11,309,,0,2,2,방문상담원(6),충청북도 단양군 보건소,임은주,043-420-3201,,인지재활,043-420-3201,충청북도 단양군 보건소,2025-09-30,4480000,충청북도 단양군
하남시 치매안심센터,치매안심센터,경기도 하남시 미사강변대로 200,경기도 하남시 망월동 980,37.5676545,127.1858194,2018-07,274,사무실(1)+프로그램실(2)+상담실(3)+검진실(1)+진료실(1)+카페(1),1,5,1,임상병리사(1)+치과위생사(1)+작업치료사(2),하남시 치매안심센터,박강용,031-790-6254,,"치매상담 및 등록관리사업, 치매조기검진, 예방관리사업 등",031-790-6254,하남시 치매안심센터,2025-11-27,4040000,경기도 하남시
산청군 치매안심센터,치매안심센터,경상남도 산청군 산청읍 중앙로97,경상남도 산청군 산청읍 지리 797,35.41608206,127.8842381,2019-10,881.52,사무실+상담실+검진실+프로그램실+치매카페+쉼터,1,10,2,작업치료사(2),산청군보건의료원,김솔,055-970-7647,,등록관리+조기검진+인지강화+예방교실+단기쉼터 및 치매 카페 운영+치매 인식개선 및 홍보+치매치료관리 지원 등,055-970-7647,경상남도 산청군보건의료원,2024-11-13,5450000,경상남도 산청군
미추홀구치매안심센터,치매안심센터,"인천광역시 미추홀구 경인로 34번길 20, 5층","인천광역시 미추홀구 숭의동 190-4, 5층",37.46303566,126.6472695,2010-02,594,,2,23,3,,인천광역시 미추홀구보건소,차남희,032-728-6520,,치매조기검진+치매치료관리비지원+인지재활프로그램 운영+치매가족교육+치매관련교육+조호물품 제공 등,032-728-6520,인천광역시 미추홀구보건소,2024-10-30,3510500,인천광역시 미추홀구
미추홀돌봄의집,치매안심센터,"인천광역시 미추홀구 경인로 34번길 20, 6층7층","인천광역시 미추홀구 숭의동 190-4, 6층7층",37.46303566,126.6472695,2000-01,755,,0,4,2,,인하대학교산학협력단,김주형,032-883-0310,2022-01-01,회상요법+미술치료+음악치료 등 인지재활 프로그램,032-728-6573,인천광역시 미추홀구보건소,2024-10-30,3510500,인천광역시 미추홀구
구례군 치매안심센터,치매안심센터,전라남도 구례군 구례읍 동편제길 30,전라남도 구례군 구례읍 백련리 576,35.21607284,127.4617801,2018-12,437,검진실(1)+진료실(1)+사무실(1)+가족카페(1)+프로그램실(1)+가족교실(1),1,5,3,작업치료사(1),구례군보건의료원,김윤길,061-780-2933,,치매쉼터프로그램+치매예방교실+인지강화 교실,061-780-2006,전라남도 구례군청,2024-10-07,4870000,전라남도 구례군
마포구치매안심센터,치매안심센터,서울특별시 마포구 대흥로 24길 50,,37.55463836,126.9487477,2007-07,1236,진료실 검진실 프로그램실 사무실 강당,1,12,5,5,가톨릭대학교서울성모병원,양동원,02-3272-1578,2024-01-01,치매예방및인식개선사업+치매조기검진 및 등록관리사업+치매치료비및원인확진검사비지원+치매가족지원+공공후견사업,02-3153-9062,마포구보건소건강동행과,2025-09-09,3130000,서울특별시 마포구
중구치매안심센터,치매안심센터,"인천광역시 중구 참외전로72번길 21, 4층","인천광역시 중구 전동 2-1, 4층",37.47721594,126.6291077,2018-11,549.61,사무실(1)+상담실(2)+진료실(1)+프로그램실(1)+쉼터(1),0,7,1,작업치료사(1),인천광역시 중구보건소,정한숙,032-760-6063,,"치매조기검진(선별,진단,감별검사)+치매환자등록관리+맞춤형사례관리+치매치료관리비 지원+조호물품 지원+치매안심마을 만들기+공공후견인사업운영+치매예방교실 운영(미술활동, 치매예방운동, 보드게임,한지공예,원예교실 등)+가족힐링프로그램(드라이플라워, 자조모임 등)+쉼터운영(운동치료,요리치료,미술치료,음악치료,감각활동,전산화인지재활,인지카드학습)+치매인식개선 및 홍보 사업+치매파트너 양성사업 등",032-760-6010,인천광역시 중구보건소,2025-09-09,3490000,인천광역시 중구
정선군치매안심센터,치매안심센터,강원특별자치도 정선군 정선읍 녹송로 33,강원특별자치도 정선군 정선읍 봉양리 80-5,37.38005958,128.6714859,2020-03,,사무실+검진실+쉼터+가족카페+교육실+상담실,0,6,1,작업치료사(2),정선군보건소,신애정,033-560-2565,,치매상담 및 등록+치매조기검진사업+치매예방교실+치매환자쉼터+치매가족교실+치매치료비지원+치매환자조호물품지원+치매인식개선사업 등,033-560-2565,정선군보건소,2025-08-04,4291000,강원특별자치도 정선군
안성시 치매안심센터,치매안심센터,경기도 안성시 강변로74번길 18,경기도 안성시 도기동 67-21,37.0001476,127.2698156,2017-01,792.07,사무실(1)+상담교육실(1)+치매쉼터(4)+가족카페(4)+프로그램실(2),0,8,5,작업치료사(4)+임상심리사(1)+행정인력(2),안성시 보건소,신형진,031-678-3002,,치매조기검진+환자등록+맞춤형 사례관리+치매쉼터 운영+치매예방교실+가족교육+치매치료관리비지원+실종예방 지문등록 및 배회인식표 발급 등,031-678-3002,경기도 안성시,2025-08-04,4080000,경기도 안성시
동구 치매안심센터,치매안심센터,대전광역시 동구 현암로 22 (삼성동),대전광역시 동구 삼성동 374-1,36.34298696,127.4204617,2025-04,,,0,8,4,행정운영(6),동구 보건소,안옥,042-621-6011,,치매 조기검진+치매예방 및 인지강화 프로그램+치매환자 조호물품 등 지원+환자가족 상담 및 힐링프로그램 등,,대전광역시 동구청,2025-07-30,3640000,대전광역시 동구
완주군치매안심센터,치매안심센터,전북특별자치도 완주군 삼례읍 삼봉8로 10-12,전북특별자치도 완주군 삼례읍 수계리 1242-1,35.92167523,127.1225328,2017-01,499.49,,0,13,0,,전북특별자치도 완주군보건소,,063-290-3188,,무료치매검사+맞춤형사례관리+치매환자가족교실+치매파트너 등,,전북특별자치도 완주군청,2025-08-05,4721000,전북특별자치도 완주군
성북구치매안심센터 분소,치매안심센터,서울특별시 성북구 한천로 568 장위석관지소 3층,,37.610489,127.063389,2022-12,182.8,사무실(1)+검사실(2)+프로그램실(2)+가족카페(1),1,11,3,작업치료사(6)+행정(1),건국대학교병원,전홍준,02-918-2223,2023-01-01,치매조기검진+인지카페 기억다방 운영+치매안심마을운영+기억키움학교+치매 찾동 협업 인지강화프로그램 등,02-2133-6137,서울특별시 성북구청,2025-08-05,3070000,서울특별시 성북구
성북구치매안심센터,치매안심센터,서울특별시 성북구 화랑로 63 성북구보건소 5층,,37.602942,127.039536,2007-12,549.9,사무실(1)+검사실(3)+프로그램실(4)+가족카페(1),1,11,3,작업치료사(6)+행정(1),건국대학교병원,전홍준,02-918-2223,2023-01-01,치매조기검진+인지카페 기억다방 운영+치매안심마을운영+기억키움학교+치매 찾동 협업 인지강화프로그램 등,02-2133-6137,서울특별시 성북구청,2025-08-05,3070000,서울특별시 성북구
인제군치매안심센터,치매안심센터,강원특별자치도 인제군 인제읍 인제로140번길 34,강원특별자치도 인제군 인제읍 남북리 789-1,38.06327706,128.1685854,2019-12,719.3,사무실(2)+치매환자쉼터(1)+가족카페(1)+교육실(2)+검진+상담실(1)+창고(3),2,4,1,행정(2)+작업치료사(2),인제군 보건소,허준용,033-460-2523,,무료치매검사+경증치매환자단기쉼터운영+ 인지재활프로그램+ 정상군 치매예방교실+치매고위험군 인지강화교실+ 치매인식개선+ 기타 치매환자 조호물품+ 치매치료관리지지원+실종예방사업,,강원특별자치도 인제군청,2024-12-13,4331000,강원특별자치도 인제군
영동군치매안심센터,치매안심센터,충청북도 영동군 영동읍 반곡동길 7,충청북도 영동군 영동읍 매천리 444-1,36.16849628,127.7759673,2018-12,488,쉼터+카페+교육실+프로그램실+사무실+상담실+검진실,1,4,1,임상심리사(1)+작업치료사(2)+일반보건직(3),영동군보건소,박한석,043-740-5941,,치매예방교실+인지강화교실+쉼터,043-740-5941,충청북도 영동군 보건소,2023-12-01,4440000,충청북도 영동군
대구광역시 수성구 치매안심센터,치매안심센터,대구광역시 수성구 수성로 213,,35.84495927,128.6119385,2019-03,998,,0,14,4,7(작업치료사 4명 + 임상심리사 2명 + 행정 1명),수성구보건소,여수환,053-666-3181,,치매조기검진+치매환자 및 가족 프로그램운영+인식개선활동 및 홍보 등,053-666-4866,대구광역시 수성구보건소,2025-07-18,3460000,대구광역시 수성구
삼척시치매안심센터,치매안심센터,강원특별자치도 삼척시 척주로 76,강원특별자치도 삼척시 남양동 347-4,37.44374981,129.172207,2024-12,555.84,,1,8,0,물리치료사(1),강원특별자치도 삼척시 보건소,이희숙,033-570-4327,,치매조기검진+치매환자 등록관리+치매예방교실+치매환자 쉼터 운영 등,033-572-4000,강원특별자치도 삼척시 보건소,2025-07-22,4241000,강원특별자치도 삼척시
부산광역시 동래구 치매안심센터,치매안심센터,부산광역시 동래구 명륜로187번길 56,부산광역시 동래구 명륜동 702-54,35.211408,129.079856,2018-06,500150,,3,10,2,임상심리사(1)+작업치료사(2),부산광역시 동래구보건소,정규석,051-555-6767,,치매상담 및 등록관리+치매조기검진 및 예방관리+치매환자쉼터 운영+치매가족 지원+치매인식개선 및 교육홍보 등,051-555-4000,부산광역시 동래구보건소,2025-07-23,3300000,부산광역시 동래구
정읍시 치매안심센터,치매안심센터,전북특별자치도 정읍시 금붕1길 215,전북특별자치도 정읍시 금붕동 949-3,35.55439734,126.893609,2019-12,649.3,사무실(1)+검진실(3)+가족카페(1)+프로그램실(1)+쉼터(1)+교육실(1),0,10,5,"5(치매관리팀장, 행정담당자2, 작업치료사2)",정읍시 보건소,손희경,063-539-6942,,치매 예방프로그램+인지강화프로그램+쉼터+가족지원사업 등,,전북특별자치도 광역치매센터,2025-07-23,4691000,전북특별자치도 정읍시
익산시치매안심센터,치매안심센터,전북특별자치도 익산시 동서로91,전북특별자치도 익산시 모현동2가 267-1,35.95692803,126.9456811,2018-04,877,사무실(1)+상담검진실(4)+쉼터및프로그램실(3)+기타(1),0,12,2,작업치료사4+임상심리사2+행정/(공무원)4,익산시보건소(보건사업과),이진윤,063-859-7550,,치매환자 등록관리+치매조기검진사업+치매치료비 지원 사업+인지증진프로그램+치매환자 가족지지모임 등,063-859-7452,익산시보건소,2025-07-28,4681000,전북특별자치도 익산시
서산시치매안심센터,치매안심센터,충청남도 서산시 호수공원 6로 6,충청남도 서산시 예천동 496-1,36.77458846,126.4445147,2018-08,350,주차가능+화장실 구비,0,6,4,작업치료사(3)+치위생사(1),충청남도 서산시,,041-661-6571,2018-08-01,치매조기검진+치매안심센터프로그램 운영+치매환자 맞춤형 사례관리+치매환자 조호물품 및 치매치료관리비 지원,041-661-6571,서산시보건소,2025-04-28,4530000,충청남도 서산시
김천시치매안심센터,치매안심센터,경상북도 김천시 체육공원길 21,경상북도 김천시 지좌동 440-128,36.11973266,128.1445272,2019-02,,,0,8,7,임상병리사(1)+치위생사(1)+작업치료사(4)+기타(1),김천시치매안심센터,황훈정,054-421-2960,,치매조기검진사업 및 치매치료관리비지원사업 등,054-421-2700,경상북도 김천시 보건소,2025-04-28,5060000,경상북도 김천시
울주치매안심센터,치매안심센터,울산광역시 울주군 웅촌면 은현작동로 49,울산광역시 울주군 웅촌면 검단리 1091-19,35.45690394,129.176837,2018-05,300.78,검진실(1)+상담실(2)+단기쉼터(1)+가족카페(1)+사무실(1)+강당(1)+운동치료실(1),1,11,1,임상병리사(1)+작업치료사(1)+치위생사(1)+의무기록사(1),울주군보건소,유점숙,052-204-2878,,치매상담 및 등록+치매조기검진+치매예방프로그램 운영+치매인식개선홍보+치매안심마을 운영+치매공공후견사업+단기쉼터 운영 등,052-204-2798,울산광역시 울주군보건소,2025-04-23,3730000,울산광역시 울주군
대구남구치매안심센터,치매안심센터,대구광역시 남구 영선길 34,대구광역시 남구 대명동 2003,35.853883,128.5915237,2019-06,215.9,사무실(2)+교육실(1)+상담실(1)+검진실(3),0,9,2,작업치료사(3)+임상심리사(2),대구광역시 남구보건소,이명자,053-664-3694,,"치매조기검진사업, 치매환자 및 가족프로그램 운영, 치매예방교육 및 인식개선사업 등",053-664-3695,대구광역시 남구보건소,2025-05-01,3440000,대구광역시 남구
연천군치매안심센터,치매안심센터,경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36,38.02353445,127.0609628,2018-07,450,사무실(1)+프로그램실(1)+검사실(2)+상담실(1)+쉼터(1)+창고(1)+다용도실(1)+가족카페(1),0,3,2,"작업치료사(1), 행정(2)",연천군보건의료원,홍대권,031-839-4165,,치매조기검진+치매치료비지원+치매예방관리사업 등,031-839-4083,경기도 연천군 보건의료원,2025-04-30,4140000,경기도 연천군
합천군 치매안심센터,치매안심센터,경상남도 합천군 합천읍 동서로 39,,35.56792811,128.1567534,2017-12,,,1,11,1,임상심리사(1)+작업치료사(2)+기타(3),경상남도 합천군보건소,안명기,055-930-4091,2017-12-28,치매조기검진+치매진단검사+치매치료관리비 지원+치매환자 조호물품 제공+치매환자 실종예방 사업+치매환자 쉼터 운영+치매환자 가족교실 운영,055-930-4000,경상남도 합천군보건소,2025-05-12,5480000,경상남도 합천군
경상북도 광역치매센터,광역치매센터,경상북도 경주시 동대로 87,경상북도 경주시 석장동 1090-1,35.85850364,129.1928772,2013-12,267,사무실(1)+회의실(1)+상담실(1)+교육실(2),1,4,3,작업치료사 2,동국대병원,곽경필,054-777-6400,2022-01-01,치매관리사업기획교육사업진단 및 조호인프라 구축연구 및 지역특화사업대국민인식개선사업,054-880-3797,경상북도청,2025-01-17,6470000,경상북도
고창군치매안심센터,치매안심센터,전북특별자치도 고창군 고창읍 전봉준로 90,전북특별자치도 고창군 고창읍 율계리 101,35.44376255,126.6832504,2011-01,353,사무실(1)+회의실(1)+검진실(1)+상담실(1)+프로그램실(1)+가족카페(1)+대기실(1),1,8,2,작업치료사(2),고창군보건소,유병수,063-560-8725,,무료치매검사+치매환자 등록관리+인지증진 재활 프로그램+맞춤형사례관리+가족지원프로그램 등,063-560-8729,전북특별자치도 고창군청,2024-06-26,4781000,전북특별자치도 고창군
전라남도광역치매센터,광역치매센터,전라남도 순천시 순광로 221,전라남도 순천시 조례동 1742,34.96375005,127.542936,2022-12,465,,1,2,5,작업치료사(1),전라남도,김영록,061-286-6042,2021-01-01,치매관련 자원 발굴+치매 연구·통계,061-726-6981,성가롤로 병원,2025-11-05,6460000,전라남도
기장군 치매안심센터,치매안심센터,부산광역시 기장군 정관읍 용수로 11,부산광역시 기장군 정관읍 용수리 1314-1,35.32519724,129.1793766,2020-12,431.67,,1,9,4,3,기장군보건소,최병무,051-709-2983,2020-01-01,치매 선별검사+치매환자 인지재활 프로그램+치매환자가족교실+자조모임+치매 예방교육 등,051-709-2983,기장군보건소,2025-11-19,3400000,부산광역시 기장군
사상구치매안심센터,치매안심센터,부산광역시 사상구 학감대로 242(감전동),부산광역시 사상구 감전동 138-8,35.15254918,128.9914565,2019-12,624.48,사무실+상담실+진단실+배움터+쉼터+가족카페,1,11,4,작업치료사(3)+임상병리사(1),부산광역시 사상구보건소,이정민,051-310-3362,,치매환자 등록 관리+중증치매노인공공후견+사례관리+치매치료관리비 지원+치매조기검진+치매환자 쉼터 및 가족지원+치매 인식 개선을 위한 홍보 캠페인 등,051-310-3362,부산광역시 사상구 사상구보건소,2025-11-14,3390000,부산광역시 사상구
영등포구치매안심센터,치매안심센터,서울특별시 영등포구 당산로 29길 9,서울특별시 영등포구 당산동3가 407,37.525994,126.893979,2009-12,854.21,검사실(4)+진료실(1)+프로그램실(5)+쉼터(2)+카페(1)+사무실(1)+화장실 각층(3),1,9,4,작업치료사(5)+음악치료사(1)+운동처방사(1)+행정요원(1),한림대학교 강남성심병원,정산,02-831-0855,2024-12-01,"치매예방 및 인식개선(교육, 홍보)치매조기검진(선별검진, 정밀검진)치매예방등록사업(상담 및 사례관리, 환자 및 가족 지원, 인지건강 프로그램 운영)치매치료비 및 원인확진검사비 지원(저소득 치매환자)치매지역사회 지원강화(지역사회 인적, 물적 자원 연계)치매통합관리 정보시스템 구축 운영",02-2670-4752,영등포구 보건소(건강증진과),2025-11-21,3180000,서울특별시 영등포구
일산서구보건소치매안심센터,치매안심센터,경기도 고양시 일산서구 일중로 54,경기도 고양시 일산서구 일산동 1680-6,37.68447523,126.7757855,2018-06,315,,1,5,1,방사선사(1)+임상병리사(1)+임상심리사(1)+작업치료사(2)+물리치료사(1)+영양사(1),일산서구보건소,이향숙,031-8075-4871,,치매선별검사 및 진단검사 실시+치매환자등록ㆍ조호물품ㆍ치매치료관리비 지원+경증 치매환자 쉼터 운영+치매예방 프로그램 운영+치매 안심마을 운영+치매 인식개선사업+치매환자 실종예방사업,031-8075-4871,일산서구보건소 치매안심센터,2025-09-10,3940000,경기도 고양시
일산동구보건소치매안심센터,치매안심센터,경기도 고양시 일산동구 중앙로 1100,경기도 고양시 일산동구 백석동 1195,37.64613638,126.7847188,2018-04,627.47,,1,8,1,영양사(1)+의무기록사(1)+작업치료사(2),일산동구보건소,홍효명,031-8075-4850,,치매선별검사 및 진단검사 실시+치매환자등록ㆍ조호물품ㆍ치매치료관리비 지원+경증 치매환자 쉼터 운영+치매예방 프로그램 운영+치매 안심마을 운영+치매 인식개선사업+치매환자 실종예방사업,031-8075-4850,일산동구보건소 치매안심센터,2025-09-10,3940000,경기도 고양시
용산구치매안심센터,치매안심센터,서울특별시 용산구 녹사평대로 150,서울특별시 용산구 이태원동34-87,37.5324394,126.9904783,2009-12,574.82,사무실(1)+교육실(1)+프로그램실(2)+신체계측실(1)+검진실(3)+진료실(1)+센터장실(1)+가족카페(1)+치매환자쉼터(1),1,9,3,작업치료사(6)+음악치료사(1),순천향대학교 서울병원,서교일,02-790-1541,2009-10-19,조기검진사업+치매환자등록관리사업+치매환자쉼터 운영사업+가족모임운영+교육 및 인지프로그램 운영+치매예방관리사업+홍보사업+치매파트너 양성+지역자원강화사업 등,02-2199-8082,서울특별시 용산구 보건소,2025-08-05,3020000,서울특별시 용산구
경상북도 안동시 치매안심센터,치매안심센터,경상북도 안동시 보현로12,경상북도 안동시 용상동 1517-263,36.55003666,128.7588531,2019-12,999.28,사무실(2)+검진실(1)+교육실(1)+회의실(1)+카페(1),0,19,2,임상심리상담사(2)+작업치료사(1)+행정(6),안동시 치매안심센터,김경숙,054-840-5789,,치매검진+치매상담+치매쉼터+인지강화교실+치매예방교실+조호물품지원+치매가족지원,054-855-5986,경상북도 안동시보건소,2025-08-16,5070000,경상북도 안동시
울산광역시북구치매안심센터,치매안심센터,울산광역시 북구 산업로 1018,울산광역시 북구 연암동 1082,35.58355486,129.3607258,2018-10,324,사무실+환자쉼터+가족카페+검진실+교육실+프로그램실,1,6,1,작업치료사(3),울산광역시 북구보건소,신수진,052-241-8257,,치매 조기검진+치매환자 등록관리+교육지원,052-289-3450,울산광역시 북구보건소,2025-08-25,3720000,울산광역시 북구
성동구치매안심센터,치매안심센터,서울특별시 성동구 왕십리로5길 3 (성수1가제2동 공공복합청사 5층),서울특별시 성동구 성수동1가 685-580,37.546403,127.0443497,2007-07,558.09,인지건강센터,1,9,3,작업치료사(4)+회계사(1),서울특별시 서울의료원,김희진,02-499-8071,2017-01-01,치매검진+치매예방등록관리+지역사회자원 강화,02-2286-7033,성동구보건소,2025-08-27,3030000,서울특별시 성동구
서울특별시송파구치매안심센터,치매안심센터,서울특별시 송파구 충민로 184,서울특별시 송파구 장지동 850-2,37.48578411,127.1341622,2008-03,682,사무실(2)+검진실(3)+프로그램실(2)+가족소모임실(1)+치매가족카페(1),0,11,5,작업치료사(6),송파구보건소,이영숙,02-2147-5050,,치매조기검진+치매인식개선 및 등록관리사업+쉼터 및 인지건강프로그램 운영,02-2147-2356,서울특별시 송파구청,2023-07-03,3230000,서울특별시 송파구
노원구치매안심센터,치매안심센터,서울특별시 노원구 수락산로 212-20 마들보건지소 4~5층,서울특별시 노원구 상계1동 1035-1 마들보건지소 4~5층,37.6714558,127.055257,2009-12,518,기억키움학교,1,12,4,작업치료사(8),인제대학교 상계백병원 위탁,이순형,02-911-7778,2022-01-01,치매조기검진+치매예방 및 등록관리+치매치료비 지원+쉼터 및 일상생활훈련센터 운영+지역자원강화 사업 등,02-2116-4353,서울특별시 노원구청,2024-07-22,3100000,서울특별시 노원구
전주시 치매안심센터,치매안심센터,전북특별자치도 전주시 완산구 전라감영로 33,전북특별자치도 전주시 완산구 중앙동4가 30-1,35.81584604,127.1433514,2021-11,239.58,사무실+휴게실+프로그램실 등,0,13,3,임상심리사(1)+작업치료사(1)+기타행정인력(1),전주시보건소,김신선,063-281-6291,,"치매환자 등록관리, 인지재활프로그램,가정방문사례관리 등",063-281-6291,전주시 보건소,2025-02-10,4641000,전북특별자치도 전주시
장수치매정신통합센터,치매안심센터,"전북특별자치도 장수군 장수읍 장천로 255-10, 2층",전북특별자치도 장수군 장수읍 노하리 364,35.65513121,127.5191364,2018-12,427.92,가족카페+프로그램실+쉼터+상담실+검진실+사무실,1,6,1,작업치료사(2)+팀장(1),전북특별자치도 장수군 치매안심센터,위상양,063-350-2670,,상담 등록서비스+치매조기검진서비스+치매치료관리비 지원+조호물품 지원+맞춤형 사례관리 서비스+치매환자 쉼터 프로그램 운영+치매환자 가족지원서비스+치매예방관리사업+치매인식개선사업,063-351-8000,전북특별자치도 장수군 보건의료원,2025-02-24,4751000,전북특별자치도 장수군
담양군치매안심센터,치매안심센터,전라남도 담양군 담양읍 완동길 10-5,전라남도 담양군 담양읍 만성리 116-1,35.32470339,126.9807889,2019-02,613.81,사무실+휴게실+진단실+치매쉼터+프로그램실+정신진단실+정신가족쉼터+창고+화장실1+화장실2+엘리베이터+홀/복도,1,10,0,행정(2)+작업치료사(3),담양군치매안심센터,김동진,061-380-2971,,치매상담 및 등록관리사업+일반조기검진사업+치매치료관리비지원+치매환자조호물품제공+배회가능어르신인식표발급+인지강화프로그램운영+치매예방교육운영+치매예방교실운영+치매환자쉼터프로그램운영+헤아림가족교실운영+치매파트너양성+치매극복선도단체양성+치매환자맞춤형사례관리사업,061-380-2971,전라남도 담양군청,2023-12-01,4850000,전라남도 담양군
